'CAUSE 1.0	K AH Z
ABOMINATION 1.0	AH B AA M AH N EY SH AH N
ABORIGINAL 1.0	AE B ER IH JH AH N AH L
ABORIGINES 1.0	AE B ER IH JH AH N IY Z
ABORT 1.0	AH B AO R T
ABORTED 1.0	AH B AO R T IH D
ABORTING 1.0	AH B AO R T IH NG
ABORTION 1.0	AH B AO R SH AH N
ABORTIONIST 1.0	AH B AO R SH AH N IH S T
ABORTIONISTS 1.0	AH B AO R SH AH N IH S
ABORTIONISTS 1.0	AH B AO R SH AH N IH S T S
ABORTIONS 1.0	AH B AO R SH AH N Z
ABORTIVE 1.0	AH B AO R T IH V
ABORTS 1.0	AH B AO R T S
ABOU 1.0	AH B UW
ABOUND 1.0	AH B AW N D
ABOUNDED 1.0	AH B AW N D IH D
ABOUNDING 1.0	AH B AW N D IH NG
ABOUNDS 1.0	AH B AW N D Z
ABOUT 1.0	AH B AW T
ABOVE 1.0	AH B AH V
ABRAHAM 1.0	EY B R AH HH AE M
ABRAHAMS 1.0	EY B R AH HH AE M Z
ABRAM 1.0	AH B R AE M
ABRAMS 1.0	EY B R AH M Z
ABRAMSON 1.0	EY B R AH M S AH N
ABRASION 1.0	AH B R EY ZH AH N
ABRASIONS 1.0	AH B R EY ZH AH N Z
ABRASIVE 1.0	AH B R EY S IH V
ABREAST 1.0	AH B R EH S T
ABRIDGED 1.0	AH B R IH JH D
ABROAD 1.0	AH B R AO D
ABROGATE 1.0	AE B R AH G EY T
ABROGATED 1.0	AE B R AH G EY T IH D
ABROGATION 1.0	AE B R AH G EY SH AH N
ABRUPT 1.0	AH B R AH P T
ABRUPTLY 1.0	AH B R AH P T L IY
ABS 1.0	AE B Z
ABS 1.0	EY B IY EH S
ABSCESS 1.0	AE B S EH S
ABSCONDED 1.0	AE B S K AA N D AH D
ABSENCE 1.0	AE B S AH N S
ABSENCES 1.0	AE B S AH N S IH Z
ABSENT 1.0	AE B S AH N T
ABSENTEE 1.0	AE B S AH N T IY
ABSENTEEISM 1.0	AE B S AH N T IY IH Z AH M
ABSENTIA 1.0	AE B S EH N SH AH
ABSINTHE 1.0	AE B S IH N TH
ABSOLUTE 1.0	AE B S AH L UW T
ABSOLUTELY 1.0	AE B S AH L UW T L IY
ABSOLUTES 1.0	AE B S AH L UW T S
ABSOLUTION 1.0	AE B S AH L UW SH AH N
ABSOLUTISM 1.0	AE B S AH L UW T IH Z AH M
ABSOLUTIST 1.0	AE B S IH L UW T IH S T
ABSOLVE 1.0	AE B Z AA L V
ABSOLVE 1.0	AH B Z AA L V
ABSOLVED 1.0	AE B Z AA L V D
ABSOLVED 1.0	AH B Z AA L V D
ABSORB 1.0	AH B Z AO R B
ABSORBED 1.0	AH B Z AO R B D
ABSORBENT 1.0	AH B Z AO R B AH N T
ABSORBER 1.0	AH B Z AO R B ER
ABSORBERS 1.0	AH B Z AO R B ER Z
ABSORBING 1.0	AH B Z AO R B IH NG
ABSORBS 1.0	AH B Z AO R B Z
ABSORPTION 1.0	AH B S AO R P SH AH N
ABSORPTION 1.0	AH B Z AO R P SH AH N
ABSTAIN 1.0	AE B S T EY N
ABSTAIN 1.0	AH B S T EY N
ABSTAINED 1.0	AE B S T EY N D
ABSTAINED 1.0	AH B S T EY N D
ABSTAINING 1.0	AE B S T EY N IH NG
ABSTAINING 1.0	AH B S T EY N IH NG
ABSTENTION 1.0	AE B S T EH N CH AH N
ABSTENTION 1.0	AH B S T EH N CH AH N
ABSTENTIONS 1.0	AE B S T EH N CH AH N Z
ABSTENTIONS 1.0	AH B S T EH N CH AH N Z
ABSTINENCE 1.0	AE B S T AH N AH N S
ABSTRACT 1.0	AE B S T R AE K T
ABSTRACTED 1.0	AE B S T R AE K T IH D
ABSTRACTION 1.0	AE B S T R AE K SH AH N
ABSTRACTIONS 1.0	AE B S T R AE K SH AH N Z
ABSTRACTS 1.0	AE B S T R AE K T S
ABSTRUSE 1.0	AH B S T R UW S
ABSURD 1.0	AH B S ER D
ABSURDITIES 1.0	AH B S ER D AH T IY Z
ABSURDITY 1.0	AH B S ER D AH T IY
ABSURDLY 1.0	AH B S ER D L IY
ABUNDANCE 1.0	AH B AH N D AH N S
ABUNDANT 1.0	AH B AH N D AH N T
ABUNDANTLY 1.0	AH B AH N D AH N T L IY
ABUSE 1.0	AH B Y UW S
ABUSE 1.0	AH B Y UW Z
ABUSED 1.0	AH B Y UW Z D
ABUSER 1.0	AH B Y UW Z ER
ABUSERS 1.0	AH B Y UW Z ER Z
ABUSES 1.0	AH B Y UW S IH Z
ABUSES 1.0	AH B Y UW Z IH Z
ABUSING 1.0	AH B Y UW Z IH NG
ABUSIVE 1.0	AH B Y UW S IH V
ABUT 1.0	AH B AH T
ABUTTING 1.0	AH B AH T IH NG
ABYSMAL 1.0	AH B IH Z M AH L
ABYSS 1.0	AH B IH S
ABYSSINIAN 1.0	AE B S IH N IY AH N
ACACIA 1.0	AH K EY SH AH
ACADEME 1.0	AE K AH D IY M
ACADEMIA 1.0	AE K AH D IY M IY AH
ACADEMIC 1.0	AE K AH D EH M IH K
ACADEMICALLY 1.0	AE K AH D EH M IH K L IY
ACADEMICIANS 1.0	AE K AH D AH M IH SH AH N Z
ACADEMICIANS 1.0	AH K AE D AH M IH SH AH N Z
ACADEMICS 1.0	AE K AH D EH M IH K S
ACADEMIES 1.0	AH K AE D AH M IY Z
ACADEMY 1.0	AH K AE D AH M IY
ACADEMY'S 1.0	AH K AE D AH M IY Z
ACADIA 1.0	AH K EY D IY AH
ACAPULCO 1.0	AE K AH P UH L K OW
ACCEDE 1.0	AE K S IY D
ACCEDED 1.0	AE K S IY D IH D
ACCELERATE 1.0	AE K S EH L ER EY T
ACCELERATED 1.0	AE K S EH L ER EY T IH D
ACCELERATES 1.0	AE K S EH L ER EY T S
ACCELERATING 1.0	AE K S EH L ER EY T IH NG
ACCELERATION 1.0	AE K S EH L ER EY SH AH N
ACCELERATOR 1.0	AE K S EH L ER EY T ER
ACCELERATORS 1.0	AE K S EH L ER EY T ER Z
ACCELEROMETER 1.0	AE K S EH L ER AA M AH T ER
ACCENT 1.0	AE K S EH N T
ACCENT 1.0	AH K S EH N T
ACCENTED 1.0	AE K S EH N T IH D
ACCENTS 1.0	AE K S EH N T S
ACCENTUATE 1.0	AE K S EH N CH UW EY T
ACCENTUATED 1.0	AE K S EH N CH AH W EY T IH D
ACCENTUATES 1.0	AE K S EH N CH UW EY T S
ACCENTUATING 1.0	AE K S EH N CH AH W EY T IH NG
ACCEPT 1.0	AE K S EH P T
ACCEPT 1.0	AH K S EH P T
ACCEPTABILITY 1.0	AH K S EH P T AH B IH L AH T IY
ACCEPTABLE 1.0	AE K S EH P T AH B AH L
ACCEPTABLE 1.0	AH K S EH P T AH B AH L
ACCEPTABLY 1.0	AE K S EH P T AH B L IY
ACCEPTABLY 1.0	AH K S EH P T AH B L IY
ACCEPTANCE 1.0	AE K S EH P T AH N S
ACCEPTANCE 1.0	AH K S EH P T AH N S
ACCEPTANCES 1.0	AE K S EH P T AH N S IH Z
ACCEPTED 1.0	AE K S EH P T IH D
ACCEPTED 1.0	AH K S EH P T AH D
ACCEPTING 1.0	AE K S EH P T IH NG
ACCEPTING 1.0	AH K S EH P T IH NG
ACCEPTS 1.0	AE K S EH P T S
ACCESS 1.0	AE K S EH S
ACCESSED 1.0	AE K S EH S T
ACCESSIBILITY 1.0	AE K S EH S AH B IH L IH T IY
ACCESSIBLE 1.0	AE K S EH S AH B AH L
ACCESSING 1.0	AE K S EH S IH NG
ACCESSION 1.0	AH K S EH SH AH N
ACCESSORIES 1.0	AE K S EH S ER IY Z
ACCESSORY 1.0	AE K S EH S ER IY
ACCIDENT 1.0	AE K S AH D AH N T
ACCIDENTAL 1.0	AE K S AH D EH N AH L
ACCIDENTAL 1.0	AE K S AH D EH N T AH L
ACCIDENTALLY 1.0	AE K S AH D EH N AH L IY
ACCIDENTALLY 1.0	AE K S AH D EH N T AH L IY
ACCIDENTLY 1.0	AE K S AH D AH N T L IY
ACCIDENTS 1.0	AE K S AH D AH N T S
ACCLAIM 1.0	AH K L EY M
ACCLAIMED 1.0	AH K L EY M D
ACCLAMATION 1.0	AE K L AH M EY SH AH N
ACCLIMATE 1.0	AE K L AH M EY T
ACCLIMATED 1.0	AE K L AH M EY T IH D
ACCOLADE 1.0	AE K AH L EY D
ACCOLADES 1.0	AE K AH L EY D Z
ACCOMMODATE 1.0	AH K AA M AH D EY T
ACCOMMODATED 1.0	AH K AA M AH D EY T AH D
ACCOMMODATES 1.0	AH K AA M AH D EY T S
ACCOMMODATING 1.0	AH K AA M AH D EY T IH NG
ACCOMMODATION 1.0	AH K AA M AH D EY SH AH N
ACCOMMODATIONS 1.0	AH K AA M AH D EY SH AH N Z
ACCOMPANIED 1.0	AH K AH M P AH N IY D
ACCOMPANIES 1.0	AH K AH M P AH N IY Z
ACCOMPANIMENT 1.0	AH K AH M P N IH M AH N T
ACCOMPANIMENT 1.0	AH K AH M P N IY M AH N T
ACCOMPANIST 1.0	AH K AH M P AH N AH S T
ACCOMPANY 1.0	AH K AH M P AH N IY
ACCOMPANYING 1.0	AH K AH M P AH N IY IH NG
ACCOMPLICE 1.0	AH K AA M P L AH S
ACCOMPLICES 1.0	AH K AA M P L AH S AH Z
ACCOMPLISH 1.0	AH K AA M P L IH SH
ACCOMPLISHED 1.0	AH K AA M P L IH SH T
ACCOMPLISHES 1.0	AH K AA M P L IH SH IH Z
ACCOMPLISHING 1.0	AH K AA M P L IH SH IH NG
ACCOMPLISHMENT 1.0	AH K AA M P L IH SH M AH N T
ACCOMPLISHMENTS 1.0	AH K AA M P L IH SH M AH N T S
ACCORD 1.0	AH K AO R D
ACCORDANCE 1.0	AH K AO R D AH N S
ACCORDED 1.0	AH K AO R D IH D
ACCORDING 1.0	AH K AO R D IH NG
ACCORDINGLY 1.0	AH K AO R D IH NG L IY
ACCORDION 1.0	AH K AO R D IY AH N
ACCORDIONS 1.0	AH K AO R D IY AH N Z
ACCORDS 1.0	AH K AO R D Z
ACCOSTED 1.0	AH K AA S T AH D
ACCOUNT 1.0	AH K AW N T
ACCOUNT'S 1.0	AH K AW N T S
ACCOUNTABILITY 1.0	AH K AW N AH B IH L IH T IY
ACCOUNTABILITY 1.0	AH K AW N T AH B IH L IH T IY
ACCOUNTABLE 1.0	AH K AW N AH B AH L
ACCOUNTABLE 1.0	AH K AW N T AH B AH L
ACCOUNTANCY 1.0	AH K AW N T AH N S IY
ACCOUNTANT 1.0	AH K AW N T AH N T
ACCOUNTANTS 1.0	AH K AW N T AH N T S
ACCOUNTED 1.0	AH K AW N AH D
ACCOUNTED 1.0	AH K AW N T AH D
ACCOUNTING 1.0	AH K AW N IH NG
ACCOUNTING 1.0	AH K AW N T IH NG
ACCOUNTS 1.0	AH K AW N T S
ACCOUTREMENTS 1.0	AH K UW T ER M AH N T S
ACCREDITATION 1.0	AH K R EH D AH T EY SH AH N
ACCREDITED 1.0	AH K R EH D IH T IH D
ACCREDITING 1.0	AH K R EH D AH T IH NG
ACCRETION 1.0	AH K R IY SH AH N
ACCRUAL 1.0	AH K R UW AH L
ACCRUE 1.0	AH K R UW
ACCRUED 1.0	AH K R UW D
ACCRUES 1.0	AH K R UW Z
ACCRUING 1.0	AH K R UW IH NG
ACCUMULATE 1.0	AH K Y UW M Y AH L EY T
ACCUMULATED 1.0	AH K Y UW M Y AH L EY T IH D
ACCUMULATES 1.0	AH K Y UW M Y AH L EY T S
ACCUMULATING 1.0	AH K Y UW M Y AH L EY T IH NG
ACCUMULATION 1.0	AH K Y UW M Y AH L EY SH AH N
ACCUMULATIONS 1.0	AH K Y UW M Y AH L EY SH AH N Z
ACCUMULATOR 1.0	AH K Y UW M Y AH L EY T ER
ACCURACIES 1.0	AE K Y ER AH S IY Z
ACCURACY 1.0	AE K Y ER AH S IY
ACCURATE 1.0	AE K Y ER AH T
ACCURATELY 1.0	AE K Y ER AH T L IY
ACCUSATION 1.0	AE K Y AH Z EY SH AH N
ACCUSATION 1.0	AE K Y UW Z EY SH AH N
ACCUSATIONS 1.0	AE K Y AH Z EY SH AH N Z
ACCUSATIONS 1.0	AE K Y UW Z EY SH AH N Z
ACCUSATIVE 1.0	AH K Y UW Z AH T IH V
ACCUSATORY 1.0	AH K Y UW Z AH T AO R IY
ACCUSE 1.0	AH K Y UW Z
ACCUSED 1.0	AH K Y UW Z D
ACCUSER 1.0	AH K Y UW Z ER
ACCUSERS 1.0	AH K Y UW Z ER Z
ACCUSES 1.0	AH K Y UW Z IH Z
ACCUSING 1.0	AH K Y UW Z IH NG
ACCUSINGLY 1.0	AH K Y UW Z IH NG L IY
ACCUSTOM 1.0	AH K AH S T AH M
ACCUSTOMED 1.0	AH K AH S T AH M D
ACE 1.0	EY S
ACERBIC 1.0	AH S EH R B IH K
ACES 1.0	EY S IH Z
ACETAMINOPHEN 1.0	AH S IY T AH M IH N AH F AH N
ACETATE 1.0	AE S AH T EY T
ACETONE 1.0	AE S AH T OW N
ACEY 1.0	EY S IY
ACHE 1.0	EY K
ACHED 1.0	EY K T
ACHES 1.0	EY K S
ACHIEVABLE 1.0	AH CH IY V AH B AH L
ACHIEVE 1.0	AH CH IY V
ACHIEVED 1.0	AH CH IY V D
ACHIEVEMENT 1.0	AH CH IY V M AH N T
ACHIEVEMENTS 1.0	AH CH IY V M AH N T S
ACHIEVER 1.0	AH CH IY V ER
ACHIEVERS 1.0	AH CH IY V ER Z
ACHIEVES 1.0	AH CH IY V Z
ACHIEVING 1.0	AH CH IY V IH NG
ACHILLES 1.0	AH K IH L IY Z
ACHING 1.0	EY K IH NG
ACHY 1.0	EY K IY
ACID 1.0	AE S AH D
ACIDIC 1.0	AH S IH D IH K
ACIDITY 1.0	AH S IH D AH T IY
ACIDS 1.0	AE S AH D Z
ACKERMAN 1.0	AE K ER M AH N
ACKNOWLEDGE 1.0	AE K N AA L IH JH
ACKNOWLEDGE 1.0	IH K N AA L IH JH
ACKNOWLEDGED 1.0	AE K N AA L IH JH D
ACKNOWLEDGED 1.0	IH K N AA L IH JH D
ACKNOWLEDGEMENT 1.0	AE K N AA L IH JH M AH N T
ACKNOWLEDGEMENT 1.0	IH K N AA L IH JH M AH N T
ACKNOWLEDGEMENTS 1.0	AE K N AA L IH JH M AH N T S
ACKNOWLEDGEMENTS 1.0	IH K N AA L IH JH M AH N T S
ACKNOWLEDGES 1.0	AE K N AA L IH JH IH Z
ACKNOWLEDGES 1.0	IH K N AA L IH JH IH Z
ACKNOWLEDGING 1.0	AE K N AA L IH JH IH NG
ACKNOWLEDGING 1.0	IH K N AA L IH JH IH NG
ACKROYD 1.0	AE K R OY D
ACME 1.0	AE K M IY
ACNE 1.0	AE K N IY
ACOLYTE 1.0	AE K AH L AY T
ACOLYTES 1.0	AE K AH L AY T S
ACORN 1.0	EY K AO R N
ACORNS 1.0	EY K AO R N Z
ACOUSTIC 1.0	AH K UW S T IH K
ACOUSTICAL 1.0	AH K UW S T IH K AH L
ACOUSTICALLY 1.0	AH K UW S T IH K L IY
ACOUSTICS 1.0	AH K UW S T IH K S
ACQUAINT 1.0	AH K W EY N T
ACQUAINTANCE 1.0	AH K W EY N T AH N S
ACQUAINTANCES 1.0	AH K W EY N T AH N S IH Z
ACQUAINTED 1.0	AH K W EY N IH D
ACQUAINTED 1.0	AH K W EY N T IH D
ACQUIESCE 1.0	AE K W IY EH S
ACQUIESCED 1.0	AE K W IY EH S T
ACQUIESCENCE 1.0	AE K W IY EH S AH N S
ACQUIRE 1.0	AH K W AY ER
ACQUIRED 1.0	AH K W AY ER D
ACQUIRER 1.0	AH K W AY ER ER
ACQUIRES 1.0	AH K W AY ER Z
ACQUIRING 1.0	AH K W AY ER IH NG
ACQUIRING 1.0	AH K W AY R IH NG
ACQUISITION 1.0	AE K W AH Z IH SH AH N
ACQUISITIONS 1.0	AE K W AH Z IH SH AH N Z
ACQUIT 1.0	AH K W IH T
ACQUITTAL 1.0	AH K W IH T AH L
ACQUITTED 1.0	AH K W IH T AH D
ACQUITTED 1.0	AH K W IH T IH D
ACRE 1.0	EY K ER
ACREAGE 1.0	EY K ER IH JH
ACREAGE 1.0	EY K R AH JH
ACRES 1.0	EY K ER Z
ACRID 1.0	AE K R IH D
ACRIMONIOUS 1.0	AE K R AH M OW N IY AH S
ACRIMONY 1.0	AE K R IH M OW N IY
ACROBAT 1.0	AE K R AH B AE T
ACROBATIC 1.0	AE K R AH B AE T IH K
ACROBATICS 1.0	AE K R AH B AE T IH K S
ACROBATS 1.0	AE K R AH B AE T S
ACRONYM 1.0	AE K R AH N IH M
ACRONYMS 1.0	AE K R AH N IH M Z
ACROPOLIS 1.0	AH K R AA P AH L AH S
ACROSS 1.0	AH K R AO S
ACRYLIC 1.0	AH K R IH L IH K
ACRYLICS 1.0	AH K R IH L IH K S
ACT 1.0	AE K T
ACT'S 1.0	AE K T S
ACTED 1.0	AE K T AH D
ACTED 1.0	AE K T IH D
ACTING 1.0	AE K T IH NG
ACTION 1.0	AE K SH AH N
ACTION'S 1.0	AE K SH AH N Z
ACTIONABLE 1.0	AE K SH AH N AH B AH L
ACTIONS 1.0	AE K SH AH N Z
ACTIVATE 1.0	AE K T AH V EY T
ACTIVATED 1.0	AE K T AH V EY T AH D
ACTIVATED 1.0	AE K T IH V EY T IH D
ACTIVATES 1.0	AE K T AH V EY T S
ACTIVATING 1.0	AE K T AH V EY T IH NG
ACTIVATION 1.0	AE K T AH V EY SH AH N
ACTIVATOR 1.0	AE K T AH V EY T ER
ACTIVE 1.0	AE K T IH V
ACTIVELY 1.0	AE K T IH V L IY
ACTIVES 1.0	AE K T IH V Z
ACTIVISM 1.0	AE K T IH V IH Z AH M
ACTIVIST 1.0	AE K T AH V AH S T
ACTIVIST 1.0	AE K T IH V IH S T
ACTIVISTS 1.0	AE K T AH V AH S
ACTIVISTS 1.0	AE K T AH V AH S T S
ACTIVISTS 1.0	AE K T IH V IH S
ACTIVISTS 1.0	AE K T IH V IH S T S
ACTIVITIES 1.0	AE K T IH V AH T IY Z
ACTIVITIES 1.0	AE K T IH V IH T IY Z
ACTIVITY 1.0	AE K T IH V AH T IY
ACTIVITY 1.0	AE K T IH V IH T IY
ACTON 1.0	AE K T AH N
ACTOR 1.0	AE K T ER
ACTOR'S 1.0	AE K T ER Z
ACTORS 1.0	AE K T ER Z
ACTRESS 1.0	AE K T R AH S
ACTRESSES 1.0	AE K T R AH S IH Z
ACTS 1.0	AE K S
ACTS 1.0	AE K T S
ACTUAL 1.0	AE K CH AH W AH L
ACTUAL 1.0	AE K SH AH L
ACTUALITY 1.0	AE K CH UW AE L AH T IY
ACTUALLY 1.0	AE K CH L IY
ACTUALLY 1.0	AE K CH UW AH L IY
ACTUALLY 1.0	AE K SH AH L IY
ACTUARIAL 1.0	AE K CH UW EH R IY AH L
ACTUARIES 1.0	AE K CH UW EH R IY Z
ACTUARY 1.0	AE K CH UW EH R IY
ACTUATE 1.0	AE K CH UW EY T
ACTUATOR 1.0	AE K CH UW EY T ER
ACTUATOR 1.0	AE K T Y UW EY T ER
ACTUATORS 1.0	AE K CH UW EY T ER Z
ACTUATORS 1.0	AE K T Y UW EY T ER Z
ACUITY 1.0	AH K Y UW AH T IY
ACUMEN 1.0	AH K Y UW M AH N
ACUPUNCTURE 1.0	AE K Y UW P AH NG K CH ER
ACUTE 1.0	AH K Y UW T
ACUTELY 1.0	AH K Y UW T L IY
AD 1.0	AE D
ADA 1.0	EY D AH
ADAGE 1.0	AE D AH JH
ADAGE 1.0	AE D IH JH
ADAIR 1.0	AH D EH R
ADAM 1.0	AE D AH M
ADAM'S 1.0	AE D AH M Z
ADAMANT 1.0	AE D AH M AH N T
ADAMANTLY 1.0	AE D AH M AH N T L IY
ADAMS 1.0	AE D AH M Z
ADAMSON 1.0	AE D AH M S AH N
ADAPT 1.0	AH D AE P T
ADAPTABILITY 1.0	AH D AE P T AH B IH L AH T IY
ADAPTABLE 1.0	AH D AE P T AH B AH L
ADAPTATION 1.0	AE D AH P T EY SH AH N
ADAPTATIONS 1.0	AE D AE P T EY SH AH N Z
ADAPTATIONS 1.0	AE D AH P T EY SH AH N Z
ADAPTED 1.0	AH D AE P T AH D
ADAPTED 1.0	AH D AE P T IH D
ADAPTING 1.0	AH D AE P T IH NG
ADAPTIVE 1.0	AH D AE P T IH V
ADAPTOR 1.0	AH D AE P T ER
ADAPTORS 1.0	AH D AE P T ER Z
ADAPTS 1.0	AH D AE P T S
ADD 1.0	AE D
ADDAMS 1.0	AE D AH M Z
ADDED 1.0	AE D AH D
ADDED 1.0	AE D IH D
ADDENDUM 1.0	AH D EH D AH M
ADDER 1.0	AE D ER
ADDICT 1.0	AE D IH K T
ADDICT 1.0	AH D IH K T
ADDICTED 1.0	AH D IH K T AH D
ADDICTED 1.0	AH D IH K T IH D
ADDICTING 1.0	AH D IH K T IH NG
ADDICTION 1.0	AH D IH K SH AH N
ADDICTIONS 1.0	AH D IH K SH AH N Z
ADDICTIVE 1.0	AH D IH K T IH V
ADDICTS 1.0	AE D IH K T S
ADDICTS 1.0	AH D IH K T S
ADDING 1.0	AE D IH NG
ADDIS 1.0	AA D IH S
ADDISON 1.0	AE D AH S AH N
ADDISON 1.0	AE D IH S AH N
ADDITION 1.0	AH D IH SH AH N
ADDITIONAL 1.0	AH D IH SH AH N AH L
ADDITIONAL 1.0	AH D IH SH N AH L
ADDITIONALLY 1.0	AH D IH SH AH N AH L IY
ADDITIONALLY 1.0	AH D IH SH N AH L IY
ADDITIONS 1.0	AH D IH SH AH N Z
ADDITIVE 1.0	AE D AH T IH V
ADDITIVE 1.0	AE D IH T IH V
ADDITIVES 1.0	AE D AH T IH V Z
ADDITIVES 1.0	AE D IH T IH V Z
ADDLED 1.0	AE D AH L D
ADDRESS 1.0	AE D R EH S
ADDRESS 1.0	AH D R EH S
ADDRESSABLE 1.0	AH D R EH S AH B AH L
ADDRESSED 1.0	AH D R EH S T
ADDRESSEE 1.0	AE D R EH S IY
ADDRESSES 1.0	AE D R EH S IH Z
ADDRESSES 1.0	AH D R EH S IH Z
ADDRESSING 1.0	AH D R EH S IH NG
ADDS 1.0	AE D Z
ADDY 1.0	AE D IY
ADE 1.0	EY D
ADELAIDE 1.0	AE D AH L EY D
ADELE 1.0	AH D EH L
ADELPHIA 1.0	AH D EH L F IY AH
ADEN 1.0	EY D AH N
ADEPT 1.0	AH D EH P T
ADEQUACY 1.0	AE D AH K W AH S IY
ADEQUATE 1.0	AE D AH K W AH T
ADEQUATE 1.0	AE D AH K W EY T
ADEQUATELY 1.0	AE D AH K W AH T L IY
ADEQUATELY 1.0	AE D AH K W IH T L IY
ADHERE 1.0	AH D HH IH R
ADHERED 1.0	AE D HH IH R D
ADHERENCE 1.0	AH D HH IH R AH N S
